timestamp,ticker,adjusted_close,type
2021-04-21,NVDA,614.42,stock
2021-04-20,NVDA,606.85,stock
2021-04-19,NVDA,614.47,stock
2021-04-16,NVDA,636.5,stock
2021-04-15,NVDA,645.49,stock
2021-04-14,NVDA,611.08,stock
2021-04-13,NVDA,627.18,stock
2021-04-12,NVDA,608.36,stock
2021-04-09,NVDA,576.0,stock
2021-04-08,NVDA,572.68,stock
2021-04-07,NVDA,565.74,stock
2021-04-06,NVDA,554.46,stock
2021-04-05,NVDA,559.5,stock
2021-04-01,NVDA,552.47,stock
2021-03-31,NVDA,533.93,stock
2021-03-30,NVDA,514.87,stock
2021-03-29,NVDA,517.93,stock
2021-03-26,NVDA,513.57,stock
2021-03-25,NVDA,501.41,stock
2021-03-24,NVDA,505.72,stock
2021-03-23,NVDA,522.83,stock
2021-03-22,NVDA,527.45,stock
2021-03-19,NVDA,513.83,stock
2021-03-18,NVDA,508.9,stock
2021-03-17,NVDA,533.65,stock
2021-03-16,NVDA,531.65,stock
2021-03-15,NVDA,527.65,stock
2021-03-12,NVDA,514.24,stock
2021-03-11,NVDA,519.74,stock
2021-03-10,NVDA,498.73,stock
2021-03-09,NVDA,500.81,stock
2021-03-08,NVDA,463.581893726,stock
2021-03-05,NVDA,498.300801645,stock
2021-03-04,NVDA,494.651967383,stock
2021-03-03,NVDA,512.026416552,stock
2021-03-02,NVDA,536.078732259,stock
2021-03-01,NVDA,553.493168653,stock
2021-02-26,NVDA,548.404794299,stock
2021-02-25,NVDA,532.129993812,stock
2021-02-24,NVDA,579.774772142,stock
2021-02-23,NVDA,565.499332894,stock
2021-02-22,NVDA,574.046602192,stock
2021-02-19,NVDA,596.869310737,stock
2021-02-18,NVDA,592.970556321,stock
2021-02-17,NVDA,596.049572629,stock
2021-02-16,NVDA,613.014152744,stock
2021-02-12,NVDA,598.258866798,stock
2021-02-11,NVDA,609.835168373,stock
2021-02-10,NVDA,590.381383516,stock
2021-02-09,NVDA,570.347783899,stock
2021-02-08,NVDA,577.365541849,stock
2021-02-05,NVDA,543.466372038,stock
2021-02-04,NVDA,546.395436254,stock
